numberIndependentVariables,"""=""",2.0,,
-20.0,10.0,0.47150,-0.08940,-0.00250
-20.0,15.0,0.43950,-0.07370,0.01220
-20.0,20.0,0.40130,-0.05050,0.00360
-20.0,25.0,0.32150,-0.02010,0.02390
-20.0,30.0,0.22950,0.02300,-0.01510
-20.0,35.0,0.19660,0.05480,0.01220
-20.0,40.0,0.11940,0.08310,0.00700
-20.0,45.0,0.05950,0.04040,0.01750
-20.0,50.0,0.06680,0.01570,0.02030
-20.0,55.0,0.13460,0.02560,0.02440
-20.0,60.0,0.15740,0.02810,0.02940
-20.0,70.0,0.16880,0.03080,0.0299
-20.0,80.0,0.20100,0.03680,0.03690
-20.0,90.0,0.17880,0.02370,0.04100
-15.0,-20.0,0.21840,-0.05500,-0.01280
-15.0,-15.0,0.21100,-0.03840,-0.01480
-15.0,-10.0,0.23560,-0.04650,-0.02480
-15.0,-5.0,0.31480,-0.06770,-0.02290
-15.0,0.0,0.33380,-0.07210,-0.03010
-15.0,5.0,0.35840,-0.07300,-0.02460
-15.0,10.0,0.35350,-0.06900,-0.00890
-15.0,15.0,0.32850,-0.06280,0.00640
-15.0,20.0,0.31330,-0.04720,0.00610
-15.0,25.0,0.24950,-0.02430,0.01590
-15.0,30.0,0.14810,0.01960,-0.00760
-15.0,35.0,0.13500,0.06580,-0.01440
-15.0,40.0,0.09230,0.08810,-0.01540
-15.0,45.0,0.04560,0.06420,0.01040
-15.0,50.0,0.06680,0.03850,0.01870
-15.0,55.0,0.11860,0.03030,0.01850
-15.0,60.0,0.13050,0.02570,0.02090
-15.0,70.0,0.11690,0.03010,0.0197
-15.0,80.0,0.13970,0.03140,0.02750
-15.0,90.0,0.14980,0.01650,0.03270
-10.0,-20.0,0.13760,-0.03590,-0.00380
-10.0,-15.0,0.14680,-0.03360,-0.01960
-10.0,-10.0,0.16790,-0.03960,-0.02530
-10.0,-5.0,0.20500,-0.04600,-0.02410
-10.0,0.0,0.21680,-0.04980,-0.03220
-10.0,5.0,0.22460,-0.04960,-0.02910
-10.0,10.0,0.22930,-0.04860,-0.01830
-10.0,15.0,0.21890,-0.04720,-0.00670
-10.0,20.0,0.20830,-0.03580,0.00240
-10.0,25.0,0.17050,-0.01750,0.00480
-10.0,30.0,0.09860,0.01320,-0.01980
-10.0,35.0,0.07090,0.04680,-0.01210
-10.0,40.0,0.05350,0.05630,-0.01250
-10.0,45.0,0.03460,0.05130,0.00290
-10.0,50.0,0.03400,0.03860,0.00650
-10.0,55.0,0.05460,0.02370,0.00880
-10.0,60.0,0.07340,0.01650,0.01160
-10.0,70.0,0.08200,0.02530,0.0083
-10.0,80.0,0.09410,0.02510,0.01430
-10.0,90.0,0.09860,0.01650,0.01920
-8.0,-20.0,0.11090,-0.02670,-0.00740
-8.0,-15.0,0.12070,-0.02790,-0.02270
-8.0,-10.0,0.12870,-0.03220,-0.02620
-8.0,-5.0,0.16560,-0.03980,-0.02690
-8.0,0.0,0.18370,-0.04480,-0.03410
-8.0,5.0,0.18940,-0.04400,-0.03280
-8.0,10.0,0.19340,-0.04400,-0.02330
-8.0,15.0,0.17860,-0.04160,-0.01340
-8.0,20.0,0.16730,-0.02690,-0.00550
-8.0,25.0,0.14960,-0.01300,-0.00230
-8.0,30.0,0.11190,0.00260,-0.01070
-8.0,35.0,0.05090,0.03830,-0.01440
-8.0,40.0,0.03530,0.03950,-0.00320
-8.0,45.0,0.00390,0.04160,0.00130
-8.0,50.0,0.03210,0.03570,0.00540
-8.0,55.0,0.03590,0.02330,0.00590
-8.0,60.0,0.04240,0.01690,0.00730
-8.0,70.0,0.05360,0.01860,0.0083
-8.0,80.0,0.07530,0.02480,0.01090
-8.0,90.0,0.07650,0.01530,0.01530
-6.0,-20.0,0.09190,-0.01880,-0.01400
-6.0,-15.0,0.09140,-0.02320,-0.02620
-6.0,-10.0,0.09390,-0.02540,-0.02700
-6.0,-5.0,0.12760,-0.03210,-0.03000
-6.0,0.0,0.14280,-0.03770,-0.03720
-6.0,5.0,0.14860,-0.03600,-0.03720
-6.0,10.0,0.14920,-0.03490,-0.02990
-6.0,15.0,0.13750,-0.03790,-0.02130
-6.0,20.0,0.13190,-0.01980,-0.01390
-6.0,25.0,0.11620,-0.00790,-0.01030
-6.0,30.0,0.10100,0.00210,-0.01240
-6.0,35.0,0.06260,0.02190,-0.00700
-6.0,40.0,0.02690,0.02710,0.00150
-6.0,45.0,0.00150,0.03190,-0.00060
-6.0,50.0,0.01330,0.02820,0.00390
-6.0,55.0,0.02490,0.01660,0.00180
-6.0,60.0,0.03290,0.01150,0.00220
-6.0,70.0,0.03580,0.01600,-0.00220
-6.0,80.0,0.05000,0.02330,0.00730
-6.0,90.0,0.05650,0.01510,0.01150
-4.0,-20.0,0.06260,-0.01190,-0.01310
-4.0,-15.0,0.06380,-0.01740,-0.02640
-4.0,-10.0,0.06180,-0.01930,-0.02950
-4.0,-5.0,0.08800,-0.02480,-0.03330
-4.0,0.0,0.10010,-0.02770,-0.04130
-4.0,5.0,0.10640,-0.02650,-0.04190
-4.0,10.0,0.10930,-0.02670,-0.03640
-4.0,15.0,0.09780,-0.02340,-0.03120
-4.0,20.0,0.09030,-0.01110,-0.02300
-4.0,25.0,0.08420,-0.00370,-0.02000
-4.0,30.0,0.07490,0.00560,-0.01950
-4.0,35.0,0.05770,0.01780,-0.01130
-4.0,40.0,0.03120,0.01870,-0.00280
-4.0,45.0,-0.01170,0.02520,-0.00160
-4.0,50.0,-0.01100,0.02290,0.00000
-4.0,55.0,-0.01360,0.01320,-0.00210
-4.0,60.0,-0.00800,0.00920,-0.00160
-4.0,70.0,0.00650,0.02060,-0.00470
-4.0,80.0,0.04110,0.01840,0.00300
-4.0,90.0,0.03390,0.01550,0.00860
-2.0,-20.0,0.04090,-0.00930,-0.01850
-2.0,-15.0,0.03830,-0.01370,-0.03000
-2.0,-10.0,0.03150,-0.01390,-0.03400
-2.0,-5.0,0.05090,-0.01760,-0.03670
-2.0,0.0,0.06110,-0.01930,-0.04500
-2.0,5.0,0.06650,-0.01760,-0.04660
-2.0,10.0,0.06600,-0.01710,-0.04350
-2.0,15.0,0.05780,-0.01360,-0.04000
-2.0,20.0,0.04800,-0.00290,-0.03240
-2.0,25.0,0.04700,0.00120,-0.02850
-2.0,30.0,0.04310,0.00820,-0.02460
-2.0,35.0,0.03160,0.01380,-0.01730
-2.0,40.0,0.01490,0.01270,-0.00880
-2.0,45.0,-0.01980,0.01640,-0.00240
-2.0,50.0,-0.02570,0.01960,-0.00240
-2.0,55.0,-0.02700,0.01930,-0.00430
-2.0,60.0,-0.02240,0.02070,-0.00430
-2.0,70.0,-0.01320,0.01900,-0.00540
-2.0,80.0,0.01010,0.01560,0.00090
-2.0,90.0,0.00990,0.01380,0.00470
0.0,-20.0,0.01900,-0.00890,-0.02260
0.0,-15.0,0.01570,-0.00980,-0.03270
0.0,-10.0,0.01600,-0.00910,-0.03280
0.0,-5.0,0.01520,-0.01110,-0.04010
0.0,0.0,0.02350,-0.01200,-0.04810
0.0,5.0,0.02880,-0.01050,-0.05110
0.0,10.0,0.02840,-0.00900,-0.04990
0.0,15.0,0.02220,-0.00660,-0.04910
0.0,20.0,0.01810,0.00010,-0.04180
0.0,25.0,0.01410,0.00450,-0.03720
0.0,30.0,0.01430,0.00650,-0.03080
0.0,35.0,0.00670,0.00990,-0.02560
0.0,40.0,0.00050,0.00440,-0.01660
0.0,45.0,-0.02500,0.00970,-0.01220
0.0,50.0,-0.04120,0.01300,-0.00760
0.0,55.0,-0.05440,0.01670,-0.00950
0.0,60.0,-0.04970,0.01820,-0.00920
0.0,70.0,-0.02080,0.01540,-0.00750
0.0,80.0,-0.00810,0.01380,-0.00410
0.0,90.0,-0.00600,0.01250,0.00220
2.0,-20.0,-0.00630,-0.00810,-0.02570
2.0,-15.0,-0.00350,-0.00660,-0.03360
2.0,-10.0,-0.00010,-0.00550,-0.03300
2.0,-5.0,-0.01620,-0.00540,-0.04390
2.0,0.0,-0.01280,-0.00560,-0.05090
2.0,5.0,-0.00870,-0.00370,-0.05480
2.0,10.0,-0.00930,-0.00200,-0.05550
2.0,15.0,-0.01380,-0.00030,-0.05750
2.0,20.0,-0.00470,0.00150,-0.05170
2.0,25.0,-0.01680,0.00720,-0.04520
2.0,30.0,-0.01460,0.00390,-0.03640
2.0,35.0,-0.01540,0.00110,-0.02520
2.0,40.0,-0.01910,-0.00090,-0.02470
2.0,45.0,-0.06680,-0.00620,-0.01760
2.0,50.0,-0.05970,0.00710,-0.01360
2.0,55.0,-0.05890,0.01750,-0.01380
2.0,60.0,-0.05530,0.02360,-0.01280
2.0,70.0,-0.05120,0.02450,-0.01330
2.0,80.0,-0.04390,0.01540,-0.00870
2.0,90.0,-0.03320,0.01130,-0.00250
4.0,-20.0,-0.02450,-0.00710,-0.02860
4.0,-15.0,-0.02420,-0.00420,-0.03570
4.0,-10.0,-0.03070,-0.00070,-0.03520
4.0,-5.0,-0.05400,0.00080,-0.04790
4.0,0.0,-0.04900,0.00150,-0.05350
4.0,5.0,-0.04230,0.00240,-0.05800
4.0,10.0,-0.04720,0.00470,-0.06060
4.0,15.0,-0.05040,0.00690,-0.06550
4.0,20.0,-0.03570,0.00520,-0.06080
4.0,25.0,-0.04890,0.01060,-0.05340
4.0,30.0,-0.04450,0.00220,-0.04310
4.0,35.0,-0.04070,-0.00520,-0.02710
4.0,40.0,-0.04260,-0.00600,-0.02810
4.0,45.0,-0.13260,-0.02830,-0.02040
4.0,50.0,-0.10520,-0.01400,-0.02250
4.0,55.0,-0.10260,0.00250,-0.01990
4.0,60.0,-0.08660,0.01950,-0.01660
4.0,70.0,-0.06010,0.02160,-0.01430
4.0,80.0,-0.06170,0.01330,-0.01540
4.0,90.0,-0.04880,0.01100,-0.00520
6.0,-20.0,-0.05030,-0.00430,-0.03460
6.0,-15.0,-0.05010,0.00020,-0.03820
6.0,-10.0,-0.06360,0.00470,-0.03740
6.0,-5.0,-0.08890,0.00740,-0.05100
6.0,0.0,-0.09190,0.00920,-0.05690
6.0,5.0,-0.08800,0.01090,-0.06120
6.0,10.0,-0.08850,0.01320,-0.06630
6.0,15.0,-0.09510,0.01580,-0.0728
6.0,20.0,-0.07360,0.01210,-0.06910
6.0,25.0,-0.08340,0.01590,-0.06150
6.0,30.0,-0.07630,0.00300,-0.04580
6.0,35.0,-0.06790,-0.00820,-0.02590
6.0,40.0,-0.06150,-0.01310,-0.03180
6.0,45.0,-0.15570,-0.03860,-0.02490
6.0,50.0,-0.13220,-0.02110,-0.02560
6.0,55.0,-0.13400,-0.00420,-0.02320
6.0,60.0,-0.11170,0.01580,-0.02080
6.0,70.0,-0.06940,0.02830,-0.01940
6.0,80.0,-0.07830,0.01010,-0.01580
6.0,90.0,-0.07820,0.01010,-0.00900
8.0,-20.0,-0.07850,-0.00040,-0.03670
8.0,-15.0,-0.08490,0.00880,-0.03650
8.0,-10.0,-0.09970,0.01200,-0.04040
8.0,-5.0,-0.13200,0.01590,-0.05400
8.0,0.0,-0.13120,0.01750,-0.05940
8.0,5.0,-0.13060,0.01940,-0.06470
8.0,10.0,-0.13180,0.02200,-0.07150
8.0,15.0,-0.13470,0.02310,-0.07790
8.0,20.0,-0.11200,0.02040,-0.07860
8.0,25.0,-0.11900,0.02170,-0.06840
8.0,30.0,-0.10240,0.00550,-0.04950
8.0,35.0,-0.08680,-0.00980,-0.02410
8.0,40.0,-0.09180,-0.02240,-0.03170
8.0,45.0,-0.17450,-0.04750,-0.02420
8.0,50.0,-0.12790,-0.01980,-0.03090
8.0,55.0,-0.14190,-0.00600,-0.02780
8.0,60.0,-0.12910,0.01120,-0.02500
8.0,70.0,-0.09070,0.02180,-0.02370
8.0,80.0,-0.09850,0.00750,-0.02030
8.0,90.0,-0.10010,0.01010,-0.01230
10.0,-20.0,-0.10400,0.00200,-0.04070
10.0,-15.0,-0.11660,0.01340,-0.04020
10.0,-10.0,-0.13520,0.01860,-0.04360
10.0,-5.0,-0.17380,0.02460,-0.05540
10.0,0.0,-0.17830,0.02680,-0.06230
10.0,5.0,-0.17560,0.02850,-0.06790
10.0,10.0,-0.18320,0.03180,-0.07690
10.0,15.0,-0.18140,0.03280,-0.08540
10.0,20.0,-0.15140,0.02730,-0.08650
10.0,25.0,-0.15750,0.02770,-0.07610
10.0,30.0,-0.12540,0.00450,-0.05030
10.0,35.0,-0.10760,-0.01740,-0.02220
10.0,40.0,-0.10740,-0.03280,-0.03100
10.0,45.0,-0.19430,-0.05830,-0.03170
10.0,50.0,-0.18260,-0.04520,-0.03040
10.0,55.0,-0.17840,-0.01830,-0.02910
10.0,60.0,-0.15270,0.00390,-0.02690
10.0,70.0,-0.11360,0.01560,-0.02570
10.0,80.0,-0.12210,0.00810,-0.02430
10.0,90.0,-0.12160,0.01170,-0.01600
15.0,-20.0,-0.18510,0.02110,-0.03170
15.0,-15.0,-0.18100,0.01820,-0.04500
15.0,-10.0,-0.20180,0.02550,-0.04410
15.0,-5.0,-0.28430,0.04630,-0.05660
15.0,0.0,-0.29620,0.04910,-0.06440
15.0,5.0,-0.29770,0.05190,-0.07240
15.0,10.0,-0.29890,0.05220,-0.08630
15.0,15.0,-0.29140,0.04840,-0.09850
15.0,20.0,-0.25630,0.03870,-0.09020
15.0,25.0,-0.23630,0.03450,-0.08720
15.0,30.0,-0.17490,-0.00190,-0.06250
15.0,35.0,-0.17170,-0.03640,-0.01990
15.0,40.0,-0.14830,-0.06460,-0.02810
15.0,45.0,-0.20570,-0.07120,-0.03920
15.0,50.0,-0.21610,-0.04510,-0.04260
15.0,55.0,-0.24090,-0.02490,-0.03880
15.0,60.0,-0.21230,-0.00530,-0.03620
15.0,70.0,-0.14560,0.01080,-0.03710
15.0,80.0,-0.16730,0.00180,-0.03750
15.0,90.0,-0.17470,0.01170,-0.02950
20.0,-20.0,-0.25310,0.02770,-0.0246
20.0,-15.0,-0.25100,0.02880,-0.03670
20.0,-10.0,-0.28020,0.03340,-0.04140
20.0,-5.0,-0.38590,0.06240,-0.05380
20.0,0.0,-0.41520,0.06850,-0.06190
20.0,5.0,-0.42810,0.07280,-0.07350
20.0,10.0,-0.42770,0.07260,-0.09270
20.0,15.0,-0.40320,0.05930,-0.10430
20.0,20.0,-0.34330,0.04200,-0.08770
20.0,25.0,-0.30790,0.03030,-0.09520
20.0,30.0,-0.25630,-0.00530,-0.05500
20.0,35.0,-0.23330,-0.02540,-0.04650
20.0,40.0,-0.17120,-0.05780,-0.05050
20.0,45.0,-0.18140,-0.04740,-0.0463
20.0,50.0,-0.21420,-0.02230,-0.04420
20.0,55.0,-0.25570,-0.02020,-0.04470
20.0,60.0,-0.24230,-0.00770,-0.04470
20.0,70.0,-0.19300,0.01010,-0.04730
20.0,80.0,-0.22530,-0.00360,-0.04690
20.0,90.0,-0.21650,0.00450,-0.03780
25.0,-20.0,-0.27910,0.02890,-0.01050
25.0,-15.0,-0.29900,0.03520,-0.02360
25.0,-10.0,-0.33620,0.03890,-0.03470
25.0,-5.0,-0.48430,0.07800,-0.04930
25.0,0.0,-0.52880,0.08640,-0.05740
25.0,5.0,-0.54790,0.08890,-0.07200
25.0,10.0,-0.54010,0.08520,-0.09280
25.0,15.0,-0.49770,0.06630,-0.10670
25.0,20.0,-0.43830,0.04760,-0.08840
25.0,25.0,-0.40620,0.04180,-0.09730
25.0,30.0,-0.34730,0.00860,-0.07800
25.0,35.0,-0.30790,-0.00630,-0.05710
25.0,40.0,-0.21840,-0.00870,-0.07170
25.0,45.0,-0.21600,-0.02110,-0.07
25.0,50.0,-0.21750,-0.00230,-0.05360
25.0,55.0,-0.22240,0.01780,-0.04990
25.0,60.0,-0.22330,0.02120,-0.05030
25.0,70.0,-0.24910,-0.00170,-0.05830
25.0,80.0,-0.27660,-0.00820,-0.05650
25.0,90.0,-0.25840,-0.00050,-0.05000
30.0,-20.0,-0.34310,0.03000,0.00690
30.0,-15.0,-0.36900,0.04170,-0.01060
30.0,-10.0,-0.39120,0.04690,-0.02340
30.0,-5.0,-0.56690,0.08660,-0.04520
30.0,0.0,-0.62560,0.10040,-0.0542
30.0,5.0,-0.63960,0.10340,-0.07250
30.0,10.0,-0.62670,0.09500,-0.0923
30.0,15.0,-0.60210,0.08230,-0.10800
30.0,20.0,-0.52620,0.05850,-0.09130
30.0,25.0,-0.48740,0.04550,-0.10110
30.0,30.0,-0.40570,0.03640,-0.11030
30.0,35.0,-0.36530,0.02240,-0.07540
30.0,40.0,-0.23380,0.01790,-0.08830
30.0,45.0,-0.28530,-0.01160,-0.0861
30.0,50.0,-0.24340,0.00430,-0.06470
30.0,55.0,-0.24540,0.01540,-0.06750
30.0,60.0,-0.24450,0.01570,-0.06700
30.0,70.0,-0.27940,-0.00610,-0.06720
30.0,80.0,-0.32060,-0.00780,-0.06980
30.0,90.0,-0.31850,-0.00380,-0.06840
