numberIndependentVariables,"""=""",3.0,,,,,,
-25.0,-15.0,-15.0,-0.18270,0.1964,1.12100,0.02420,0.17230,-0.02850
-25.0,-15.0,-10.0,-0.17180,0.2462,0.85600,0.01840,0.16410,-0.03930
-25.0,-15.0,-5.0,-0.13170,0.2818,0.42500,0.02110,0.14500,-0.04780
-25.0,-15.0,0.0,-0.10930,0.3088,0.13000,0.02250,0.14500,-0.05280
-25.0,-15.0,5.0,-0.06400,0.3124,-0.18000,0.02820,0.15700,-0.05210
-25.0,-15.0,10.0,-0.01010,0.3065,-0.49800,0.04550,0.17000,-0.04780
-25.0,-15.0,15.0,0.04020,0.2875,-0.77000,0.05680,0.19600,-0.04470
-25.0,-15.0,20.0,0.07450,0.2563,-1.08000,0.05510,0.20200,-0.02760
-25.0,-15.0,25.0,0.10670,0.2295,-1.35500,0.05130,0.19400,-0.01280
-25.0,-15.0,30.0,0.10790,0.1411,-1.51500,0.01100,0.15000,0.02560
-25.0,-15.0,35.0,0.12780,0.1472,-1.71000,0.01840,0.08100,0.07120
-25.0,-15.0,40.0,0.14410,0.2135,-1.81000,0.01320,0.08700,0.08030
-25.0,-15.0,45.0,0.16040,0.0894,-1.75000,0.02340,0.05300,0.05770
-25.0,-15.0,50.0,0.16710,0.1556,-1.72000,0.03400,0.01500,0.02160
-25.0,-15.0,55.0,0.16610,0.1725,-1.85000,0.01400,-0.00400,-0.00770
-25.0,-15.0,60.0,0.15250,0.1883,-1.89500,0.02300,-0.06000,0.01190
-25.0,-15.0,70.0,0.14200,0.1469,-1.83000,0.01910,-0.30500,0.01270
-25.0,-15.0,80.0,0.15200,0.1635,-1.92000,0.03090,-0.38700,0.01160
-25.0,-15.0,90.0,0.16480,0.1568,-1.87000,0.02530,-0.50400,0.00180
-25.0,-10.0,-20.0,-0.19490,0.1062,1.39600,0.02680,0.16920,-0.01750
-25.0,-10.0,-15.0,-0.18160,0.1332,1.12800,0.01870,0.15330,-0.01810
-25.0,-10.0,-10.0,-0.16950,0.1513,0.88700,0.01280,0.15330,-0.02420
-25.0,-10.0,-5.0,-0.13900,0.1833,0.45100,0.01780,0.13800,-0.03540
-25.0,-10.0,0.0,-0.11200,0.2014,0.14100,0.01890,0.14450,-0.03750
-25.0,-10.0,5.0,-0.06530,0.2028,-0.18400,0.02400,0.15860,-0.03520
-25.0,-10.0,10.0,-0.00740,0.2016,-0.51100,0.03460,0.17460,-0.03580
-25.0,-10.0,15.0,0.04770,0.1837,-0.80600,0.04390,0.20000,-0.03390
-25.0,-10.0,20.0,0.08670,0.1814,-1.12200,0.04540,0.20730,-0.02590
-25.0,-10.0,25.0,0.11010,0.1643,-1.40600,0.03970,0.20430,-0.01550
-25.0,-10.0,30.0,0.11880,0.0927,-1.58100,0.00250,0.17040,0.02940
-25.0,-10.0,35.0,0.14020,0.0857,-1.78800,0.00670,0.11740,0.05450
-25.0,-10.0,40.0,0.15740,0.0748,-1.89100,0.00770,0.11310,0.05730
-25.0,-10.0,45.0,0.16370,0.0782,-1.85400,0.01500,0.07340,0.03990
-25.0,-10.0,50.0,0.17120,0.0866,-1.88000,0.01690,0.06630,0.03190
-25.0,-10.0,55.0,0.17780,0.1104,-1.93800,-0.00030,0.07940,-0.01610
-25.0,-10.0,60.0,0.16640,0.123,-1.93300,0.01370,-0.06270,0.02340
-25.0,-10.0,70.0,0.15730,0.1074,-1.81300,0.02210,-0.27690,0.00070
-25.0,-10.0,80.0,0.15210,0.1096,-1.87200,0.02020,-0.34110,0.00990
-25.0,-10.0,90.0,0.16760,0.1089,-1.95300,0.02130,-0.49000,0.00790
-25.0,-8.0,-20.0,-0.19140,0.085,1.34700,0.02380,0.16930,-0.00930
-25.0,-8.0,-15.0,-0.18340,0.1039,1.12900,0.01570,0.16180,-0.01330
-25.0,-8.0,-10.0,-0.16930,0.1156,0.88880,0.01000,0.15860,-0.01670
-25.0,-8.0,-5.0,-0.14150,0.1449,0.46400,0.01440,0.13650,-0.02630
-25.0,-8.0,0.0,-0.11150,0.1553,0.14900,0.01510,0.14380,-0.02800
-25.0,-8.0,5.0,-0.06610,0.1607,-0.18600,0.01950,0.15950,-0.02800
-25.0,-8.0,10.0,-0.00700,0.1597,-0.51800,0.02850,0.17580,-0.02830
-25.0,-8.0,15.0,0.05030,0.1473,-0.81800,0.03610,0.20120,-0.02670
-25.0,-8.0,20.0,0.08880,0.1504,-1.13700,0.03770,0.20980,-0.02160
-25.0,-8.0,25.0,0.11210,0.1409,-1.40500,0.03310,0.20280,-0.01150
-25.0,-8.0,30.0,0.13330,0.1057,-1.67100,0.01520,0.19300,0.00670
-25.0,-8.0,35.0,0.14250,0.0581,-1.81800,-0.00200,0.12330,0.05370
-25.0,-8.0,40.0,0.15850,0.0531,-1.90700,0.00920,0.12790,0.04330
-25.0,-8.0,45.0,0.16710,0.0612,-1.99100,0.01400,0.09140,0.03040
-25.0,-8.0,50.0,0.17120,0.0785,-1.92400,0.01460,0.06440,0.02960
-25.0,-8.0,55.0,0.17690,0.0926,-1.95900,0.00240,0.04940,-0.00900
-25.0,-8.0,60.0,0.16620,0.1051,-1.88000,0.01220,-0.07050,0.01270
-25.0,-8.0,70.0,0.15950,0.0941,-1.86400,0.01900,-0.26480,-0.00310
-25.0,-8.0,80.0,0.15210,0.0871,-1.83800,0.01670,-0.33440,0.01100
-25.0,-8.0,90.0,0.16600,0.0843,-2.03600,0.01830,-0.51570,0.00620
-25.0,-6.0,-20.0,-0.18720,0.0677,1.33900,0.02190,0.17700,-0.00060
-25.0,-6.0,-15.0,-0.18520,0.0753,1.13100,0.01300,0.16390,-0.00670
-25.0,-6.0,-10.0,-0.17070,0.076,0.89900,0.00880,0.15950,-0.00980
-25.0,-6.0,-5.0,-0.14200,0.1055,0.47400,0.01130,0.13290,-0.01840
-25.0,-6.0,0.0,-0.11220,0.1138,0.15400,0.01120,0.14300,-0.01930
-25.0,-6.0,5.0,-0.06680,0.1133,-0.18200,0.01420,0.15850,-0.01930
-25.0,-6.0,10.0,-0.00780,0.1131,-0.52600,0.02180,0.17680,-0.02010
-25.0,-6.0,15.0,0.05350,0.1069,-0.83700,0.02720,0.20410,-0.01900
-25.0,-6.0,20.0,0.09240,0.1116,-1.14900,0.02840,0.21220,-0.01510
-25.0,-6.0,25.0,0.11260,0.1029,-1.42900,0.02610,0.20280,-0.00720
-25.0,-6.0,30.0,0.13990,0.0911,-1.69700,0.01800,0.19850,0.00400
-25.0,-6.0,35.0,0.14780,0.0651,-1.83800,-0.00170,0.15220,0.04130
-25.0,-6.0,40.0,0.16010,0.0303,-1.91100,0.01560,0.13410,0.02920
-25.0,-6.0,45.0,0.16640,0.0458,-2.03300,0.00910,0.09680,0.02000
-25.0,-6.0,50.0,0.16760,0.0555,-1.91300,0.01290,0.04980,0.02980
-25.0,-6.0,55.0,0.17650,0.0663,-2.01200,0.00420,0.01740,-0.00570
-25.0,-6.0,60.0,0.17040,0.0788,-1.90700,0.01060,-0.05560,-0.00160
-25.0,-6.0,70.0,0.17880,0.0765,-2.00400,0.01240,-0.18280,-0.00700
-25.0,-6.0,80.0,0.15350,0.0753,-1.90800,0.01670,-0.34250,0.01080
-25.0,-6.0,90.0,0.16860,0.0658,-2.01300,0.01470,-0.48010,0.00390
-25.0,-4.0,-20.0,-0.18600,0.038,1.31400,0.01790,0.17460,0.00470
-25.0,-4.0,-15.0,-0.18530,0.0442,1.14300,0.01060,0.16070,-0.00100
-25.0,-4.0,-10.0,-0.17350,0.0434,0.90900,0.00560,0.16290,-0.00220
-25.0,-4.0,-5.0,-0.14250,0.0662,0.47200,0.00720,0.12690,-0.01140
-25.0,-4.0,0.0,-0.11240,0.0726,0.15300,0.00750,0.14110,-0.01180
-25.0,-4.0,5.0,-0.06750,0.0767,-0.18700,0.00960,0.15770,-0.01210
-25.0,-4.0,10.0,-0.00900,0.0748,-0.53500,0.01470,0.17780,-0.01250
-25.0,-4.0,15.0,0.05530,0.0652,-0.84900,0.01850,0.20620,-0.01140
-25.0,-4.0,20.0,0.09410,0.0703,-1.15400,0.01850,0.21290,-0.00880
-25.0,-4.0,25.0,0.11290,0.0654,-1.44100,0.01750,0.19910,-0.00370
-25.0,-4.0,30.0,0.14220,0.063,-1.71400,0.01260,0.20090,0.00460
-25.0,-4.0,35.0,0.15700,0.0563,-1.88900,0.00280,0.17130,0.02540
-25.0,-4.0,40.0,0.16820,0.036,-1.98300,0.00960,0.14330,0.01840
-25.0,-4.0,45.0,0.16390,0.0398,-1.93900,0.00890,0.08480,0.01470
-25.0,-4.0,50.0,0.16440,0.0399,-1.86600,0.00890,0.04070,0.01570
-25.0,-4.0,55.0,0.17490,0.046,-1.99900,0.00250,0.05300,-0.00650
-25.0,-4.0,60.0,0.17100,0.0546,-1.89800,0.00640,-0.05340,-0.01200
-25.0,-4.0,70.0,0.17150,0.0564,-1.95000,0.00970,-0.21150,-0.01370
-25.0,-4.0,80.0,0.15850,0.0498,-1.94900,0.00780,-0.34550,0.00870
-25.0,-4.0,90.0,0.16670,0.0446,-1.96800,0.00910,-0.49700,0.00290
-25.0,-2.0,-20.0,-0.18600,0.0186,1.32100,0.01210,0.17420,0.00340
-25.0,-2.0,-15.0,-0.18770,0.0175,1.15800,0.00610,0.15970,0.00100
-25.0,-2.0,-10.0,-0.17720,0.0161,0.91500,0.00270,0.16150,0.00220
-25.0,-2.0,-5.0,-0.14370,0.0325,0.47400,0.00300,0.12420,-0.00550
-25.0,-2.0,0.0,-0.11300,0.0371,0.15100,0.00350,0.14120,-0.00530
-25.0,-2.0,5.0,-0.06900,0.0331,-0.18700,0.00490,0.15800,-0.00500
-25.0,-2.0,10.0,-0.01160,0.0345,-0.53400,0.00670,0.18330,-0.00540
-25.0,-2.0,15.0,0.05380,0.0298,-0.85100,0.00910,0.20690,-0.00450
-25.0,-2.0,20.0,0.09480,0.0332,-1.15600,0.00930,0.21370,-0.00400
-25.0,-2.0,25.0,0.11230,0.0343,-1.44600,0.00880,0.19810,-0.00160
-25.0,-2.0,30.0,0.14430,0.0297,-1.71900,0.00910,0.20220,0.00380
-25.0,-2.0,35.0,0.16230,0.0264,-1.91000,-0.00110,0.17890,0.01450
-25.0,-2.0,40.0,0.17260,0.0123,-2.01600,0.00480,0.14830,0.00680
-25.0,-2.0,45.0,0.16740,0.0279,-2.00300,0.00370,0.09350,0.00620
-25.0,-2.0,50.0,0.16560,0.0302,-1.87900,0.00550,0.05210,0.01040
-25.0,-2.0,55.0,0.17620,0.0424,-1.96900,0.00250,0.02920,0.00400
-25.0,-2.0,60.0,0.17190,0.0474,-1.89200,0.00480,-0.05490,-0.00290
-25.0,-2.0,70.0,0.17380,0.0371,-1.92500,0.00570,-0.20320,-0.01680
-25.0,-2.0,80.0,0.15660,0.0212,-1.82600,0.00670,-0.32540,0.00590
-25.0,-2.0,90.0,0.16690,0.0203,-1.99000,0.00560,-0.48310,0.00180
-25.0,0.0,-20.0,-0.18680,0,1.31500,0.00000,0.17500,0.00000
-25.0,0.0,-15.0,-0.18750,0,1.17100,0.00000,0.15840,0.00000
-25.0,0.0,-10.0,-0.17870,0,0.92500,0.00000,0.15900,0.00000
-25.0,0.0,-5.0,-0.14320,0,0.46900,0.00000,0.12160,0.00000
-25.0,0.0,0.0,-0.11320,0,0.15500,0.00000,0.14090,0.00000
-25.0,0.0,5.0,-0.06930,0,-0.18900,0.00000,0.15800,0.00000
-25.0,0.0,10.0,-0.01200,0,-0.53000,0.00000,0.18450,0.00000
-25.0,0.0,15.0,0.05370,0,-0.85600,0.00000,0.20870,0.00000
-25.0,0.0,20.0,0.09510,0,-1.16900,0.00000,0.21520,0.00000
-25.0,0.0,25.0,0.11110,0,-1.44600,0.00000,0.19780,0.00000
-25.0,0.0,30.0,0.14350,0,-1.71700,0.00000,0.20220,0.00000
-25.0,0.0,35.0,0.16630,0,-1.90900,0.00000,0.18140,0.00000
-25.0,0.0,40.0,0.17390,0,-2.03700,0.00000,0.14780,0.00000
-25.0,0.0,45.0,0.16590,0,-1.98500,0.00000,0.09220,0.00000
-25.0,0.0,50.0,0.16930,0,-1.95900,0.00000,0.07450,0.00000
-25.0,0.0,55.0,0.18040,0,-2.01000,0.00000,0.07130,0.00000
-25.0,0.0,60.0,0.17180,0,-1.91600,0.00000,-0.05400,0.00000
-25.0,0.0,70.0,0.16950,0,-1.95700,0.00000,-0.22440,0.00000
-25.0,0.0,80.0,0.15980,0,-1.81600,0.00000,-0.33890,0.00000
-25.0,0.0,90.0,0.16600,0,-1.97800,0.00000,-0.47230,0.00000
-25.0,2.0,-20.0,-0.18990,-0.0232,1.33700,-0.00960,0.17210,-0.00480
-25.0,2.0,-15.0,-0.18980,-0.0188,1.17700,-0.00590,0.15890,0.00040
-25.0,2.0,-10.0,-0.17690,-0.0124,0.91000,-0.00470,0.15660,0.00470
-25.0,2.0,-5.0,-0.14250,-0.042,0.46000,-0.00390,0.11830,0.00540
-25.0,2.0,0.0,-0.11290,-0.0394,0.15400,-0.00350,0.14100,0.00550
-25.0,2.0,5.0,-0.06860,-0.0383,-0.19300,-0.00470,0.15910,0.00560
-25.0,2.0,10.0,-0.01230,-0.0383,-0.53200,-0.00680,0.18400,0.00540
-25.0,2.0,15.0,0.05330,-0.0383,-0.85400,-0.00870,0.20700,0.00550
-25.0,2.0,20.0,0.09750,-0.0248,-1.15100,-0.01010,0.21330,-0.00220
-25.0,2.0,25.0,0.11220,-0.0335,-1.45200,-0.00890,0.19690,0.00130
-25.0,2.0,30.0,0.14310,-0.0306,-1.72000,-0.00660,0.20210,-0.00420
-25.0,2.0,35.0,0.16670,-0.0214,-1.90900,0.00180,0.18150,-0.01040
-25.0,2.0,40.0,0.17110,-0.032,-1.93200,-0.00770,0.12910,-0.00480
-25.0,2.0,45.0,0.16490,-0.0868,-2.02000,-0.00520,0.09400,-0.01450
-25.0,2.0,50.0,0.17140,-0.0178,-1.99200,-0.00220,0.06700,-0.00820
-25.0,2.0,55.0,0.17430,-0.0087,-1.96500,-0.00640,0.04040,-0.00190
-25.0,2.0,60.0,0.17280,-0.0048,-1.93600,-0.00260,-0.06180,0.00520
-25.0,2.0,70.0,0.17100,-0.0113,-1.90500,-0.00660,-0.22640,0.00280
-25.0,2.0,80.0,0.15730,-0.0203,-1.83700,-0.00390,-0.35220,-0.00130
-25.0,2.0,90.0,0.16720,-0.0263,-1.95700,-0.00060,-0.48300,-0.00640
-25.0,4.0,-20.0,-0.19020,-0.0467,1.33200,-0.01670,0.17580,-0.01060
-25.0,4.0,-15.0,-0.18760,-0.0402,1.14200,-0.01010,0.16150,0.00280
-25.0,4.0,-10.0,-0.17290,-0.043,0.89200,-0.00770,0.15340,0.00960
-25.0,4.0,-5.0,-0.14220,-0.0763,0.45400,-0.00810,0.12120,0.01120
-25.0,4.0,0.0,-0.11190,-0.0764,0.15100,-0.00750,0.14090,0.01220
-25.0,4.0,5.0,-0.06800,-0.0819,-0.19100,-0.00940,0.15840,0.01320
-25.0,4.0,10.0,-0.01060,-0.0786,-0.52500,-0.01430,0.18240,0.01310
-25.0,4.0,15.0,0.05360,-0.077,-0.85500,-0.01830,0.20660,0.01290
-25.0,4.0,20.0,0.09390,-0.0558,-1.14800,-0.01800,0.21180,0.00210
-25.0,4.0,25.0,0.11250,-0.0677,-1.44900,-0.01740,0.19570,0.00470
-25.0,4.0,30.0,0.1407,-0.0647,-1.70900,-0.01240,0.20070,-0.00500
-25.0,4.0,35.0,0.16640,-0.0513,-1.89300,0.00090,0.17990,-0.01620
-25.0,4.0,40.0,0.16990,-0.0484,-1.99000,-0.01170,0.13120,-0.01150
-25.0,4.0,45.0,0.16500,-0.1048,-2.04000,-0.00820,0.08380,-0.03560
-25.0,4.0,50.0,0.17280,-0.0791,-2.01700,-0.00650,0.04530,-0.02550
-25.0,4.0,55.0,0.16660,-0.0718,-1.84700,-0.01300,0.00070,-0.01520
-25.0,4.0,60.0,0.17300,-0.0571,-1.87700,-0.00490,-0.06740,0.00570
-25.0,4.0,70.0,0.17120,-0.03,-1.83300,-0.01020,-0.21950,0.01330
-25.0,4.0,80.0,0.15630,-0.0361,-1.75500,-0.00750,-0.31870,0.00350
-25.0,4.0,90.0,0.16620,-0.0418,-1.95600,-0.00120,-0.48180,-0.00510
-25.0,6.0,-20.0,-0.19000,-0.0747,1.34000,-0.02100,0.18010,-0.00740
-25.0,6.0,-15.0,-0.18680,-0.0681,1.14800,-0.01460,0.15730,0.00710
-25.0,6.0,-10.0,-0.17110,-0.0792,0.88900,-0.01180,0.15230,0.01630
-25.0,6.0,-5.0,-0.14100,-0.1177,0.44700,-0.01230,0.12360,0.01890
-25.0,6.0,0.0,-0.11100,-0.1191,0.14700,-0.01140,0.14030,0.02080
-25.0,6.0,5.0,-0.06640,-0.1233,-0.19300,-0.01380,0.15760,0.02100
-25.0,6.0,10.0,-0.00880,-0.1204,-0.52000,-0.02190,0.18110,0.02250
-25.0,6.0,15.0,0.05270,-0.12,-0.85500,-0.02860,0.20550,0.02230
-25.0,6.0,20.0,0.09130,-0.0984,-1.14600,-0.02930,0.21090,0.00990
-25.0,6.0,25.0,0.11360,-0.1028,-1.45500,-0.02630,0.19580,0.00850
-25.0,6.0,30.0,0.13790,-0.0906,-1.68400,-0.01600,0.19720,-0.00690
-25.0,6.0,35.0,0.16370,-0.0806,-1.89100,-0.00030,0.17900,-0.02230
-25.0,6.0,40.0,0.16550,-0.0664,-1.96900,-0.01230,0.12450,-0.02330
-25.0,6.0,45.0,0.16250,-0.1365,-1.91300,-0.01240,0.06100,-0.04420
-25.0,6.0,50.0,0.17490,-0.106,-2.03000,-0.00900,0.03730,-0.04410
-25.0,6.0,55.0,0.16770,-0.1065,-1.89500,-0.01760,-0.00240,-0.02750
-25.0,6.0,60.0,0.17340,-0.084,-1.93300,-0.00950,-0.08280,-0.01010
-25.0,6.0,70.0,0.17300,-0.0477,-1.93200,-0.01430,-0.20540,0.01380
-25.0,6.0,80.0,0.15860,-0.0655,-1.84800,-0.01240,-0.32620,-0.00540
-25.0,6.0,90.0,0.16640,-0.0611,-1.96200,-0.00860,-0.49110,-0.00980
-25.0,8.0,-20.0,-0.18960,-0.1078,1.33800,-0.02390,0.18260,-0.00150
-25.0,8.0,-15.0,-0.18480,-0.1004,1.13100,-0.01620,0.15340,0.01510
-25.0,8.0,-10.0,-0.17060,-0.1171,0.88100,-0.01360,0.14890,0.02450
-25.0,8.0,-5.0,-0.13970,-0.1575,0.44600,-0.01490,0.12670,0.02900
-25.0,8.0,0.0,-0.11020,-0.1674,0.13800,-0.01510,0.14090,0.03020
-25.0,8.0,5.0,-0.06500,-0.1705,-0.19500,-0.01880,0.15720,0.03010
-25.0,8.0,10.0,-0.00830,-0.1668,-0.52100,-0.02820,0.17970,0.03090
-25.0,8.0,15.0,0.05090,-0.1642,-0.83600,-0.03670,0.20220,0.03040
-25.0,8.0,20.0,0.08670,-0.1366,-1.13500,-0.03690,0.20820,0.01610
-25.0,8.0,25.0,0.11150,-0.1369,-1.44000,-0.03470,0.19480,0.01320
-25.0,8.0,30.0,0.13590,-0.1159,-1.67000,-0.01940,0.19470,-0.00900
-25.0,8.0,35.0,0.15600,-0.0971,-1.84600,0.00300,0.17030,-0.03120
-25.0,8.0,40.0,0.16110,-0.0958,-1.83600,-0.01500,0.10250,-0.03320
-25.0,8.0,45.0,0.15970,-0.1541,-1.91800,-0.01350,0.04910,-0.05800
-25.0,8.0,50.0,0.17250,-0.1177,-1.94200,-0.01700,0.03200,-0.06190
-25.0,8.0,55.0,0.17240,-0.1225,-1.92800,-0.02800,0.01650,-0.03150
-25.0,8.0,60.0,0.17210,-0.1047,-1.95200,-0.01320,-0.08490,-0.02150
-25.0,8.0,70.0,0.17200,-0.0715,-1.95200,-0.01530,-0.22030,0.00830
-25.0,8.0,80.0,0.15580,-0.0804,-1.85800,-0.01560,-0.32830,-0.00690
-25.0,8.0,90.0,0.17110,-0.0836,-2.04800,-0.01520,-0.50740,-0.00970
-25.0,10.0,-20.0,-0.18830,-0.1421,1.29400,-0.02450,0.19120,0.00520
-25.0,10.0,-15.0,-0.18410,-0.1317,1.13700,-0.01890,0.14640,0.02000
-25.0,10.0,-10.0,-0.16980,-0.1542,0.87500,-0.01580,0.14930,0.03200
-25.0,10.0,-5.0,-0.13720,-0.2072,0.44000,-0.01880,0.13030,0.03920
-25.0,10.0,0.0,-0.10920,-0.2134,0.12900,-0.01870,0.14140,0.03930
-25.0,10.0,5.0,-0.06490,-0.2173,-0.19400,-0.02300,0.15730,0.03830
-25.0,10.0,10.0,-0.00800,-0.2171,-0.51500,-0.03430,0.17840,0.03910
-25.0,10.0,15.0,0.04850,-0.2056,-0.82700,-0.04330,0.20000,0.03720
-25.0,10.0,20.0,0.08240,-0.1729,-1.12900,-0.04480,0.20610,0.02100
-25.0,10.0,25.0,0.10750,-0.1692,-1.41500,-0.04110,0.19530,0.01570
-25.0,10.0,30.0,0.13230,-0.1353,-1.65100,-0.02250,0.19010,-0.01150
-25.0,10.0,35.0,0.14600,-0.1022,-1.80000,0.01000,0.14590,-0.05060
-25.0,10.0,40.0,0.15670,-0.1075,-1.91800,-0.01300,0.10280,-0.04920
-25.0,10.0,45.0,0.15730,-0.183,-1.94600,-0.01780,0.04200,-0.06980
-25.0,10.0,50.0,0.17300,-0.1508,-2.00200,-0.02000,0.03970,-0.07880
-25.0,10.0,55.0,0.17610,-0.1468,-1.96500,-0.01730,0.02810,-0.03050
-25.0,10.0,60.0,0.16880,-0.1242,-1.91500,-0.01410,-0.10040,-0.02210
-25.0,10.0,70.0,0.16860,-0.0859,-1.89300,-0.01720,-0.21910,0.00180
-25.0,10.0,80.0,0.15720,-0.1027,-1.77400,-0.01900,-0.32850,-0.00540
-25.0,10.0,90.0,0.16770,-0.1068,-1.97000,-0.01910,-0.48630,-0.01010
-25.0,15.0,-20.0,-0.18330,-0.2221,1.23500,-0.01960,0.20700,0.02970
