numberIndependentVariables,"""=""",2.0,,
-8.0,35.0,0.11600,0.01230,0.00650
-8.0,40.0,0.08870,0.01450,0.01210
-8.0,45.0,0.08490,0.02480,0.01940
-8.0,50.0,0.09290,0.01490,0.01550
-8.0,55.0,0.09990,-0.00180,0.01480
-8.0,60.0,0.10670,-0.01210,0.01840
-8.0,70.0,0.09680,-0.00810,0.02190
-8.0,80.0,0.08670,0.00840,0.01650
-8.0,90.0,0.07720,-0.00440,0.01660
-6.0,-20.0,0.16690,-0.06160,0.03210
-6.0,-15.0,0.17320,-0.06490,0.02550
-6.0,-10.0,0.17180,-0.06570,0.02650
-6.0,-5.0,0.18890,-0.06710,0.02900
-6.0,0.0,0.20170,-0.06930,0.02620
-6.0,5.0,0.21120,-0.06960,0.02770
-6.0,10.0,0.20340,-0.06900,0.03430
-6.0,15.0,0.19840,-0.06940,0.04110
-6.0,20.0,0.20940,-0.06760,0.04120
-6.0,25.0,0.20400,-0.06200,0.03690
-6.0,30.0,0.17370,-0.04220,0.02690
-6.0,35.0,0.12190,-0.00850,0.02010
-6.0,40.0,0.09090,0.00130,0.01720
-6.0,45.0,0.07980,0.01400,0.02230
-6.0,50.0,0.08030,0.00820,0.01490
-6.0,55.0,0.07690,-0.00750,0.01250
-6.0,60.0,0.08460,-0.01950,0.01570
-6.0,70.0,0.08500,-0.01560,0.01750
-6.0,80.0,0.06960,0.00500,0.00980
-6.0,90.0,0.06160,-0.00570,0.01120
-4.0,-20.0,0.13550,-0.05510,0.03010
-4.0,-15.0,0.14050,-0.05800,0.02270
-4.0,-10.0,0.13500,-0.05900,0.02430
-4.0,-5.0,0.15160,-0.05990,0.02530
-4.0,0.0,0.16100,-0.06100,0.02210
-4.0,5.0,0.16900,-0.06100,0.02360
-4.0,10.0,0.16290,-0.06000,0.02800
-4.0,15.0,0.15820,-0.06050,0.03290
-4.0,20.0,0.16080,-0.06280,0.03130
-4.0,25.0,0.17530,-0.05890,0.03090
-4.0,30.0,0.15990,-0.04750,0.02440
-4.0,35.0,0.13400,-0.02430,0.02230
-4.0,40.0,0.08210,-0.01030,0.01690
-4.0,45.0,0.08550,0.00470,0.02300
-4.0,50.0,0.05110,0.00220,0.01170
-4.0,55.0,0.04070,-0.00750,0.00860
-4.0,60.0,0.04420,-0.01930,0.01040
-4.0,70.0,0.05430,-0.02030,0.01250
-4.0,80.0,0.05430,0.00160,0.01000
-4.0,90.0,0.04700,-0.00100,0.00990
-2.0,-20.0,0.11730,-0.05200,0.02360
-2.0,-15.0,0.11440,-0.05220,0.01970
-2.0,-10.0,0.10430,-0.05200,0.02020
-2.0,-5.0,0.11800,-0.05220,0.02050
-2.0,0.0,0.12400,-0.05270,0.01820
-2.0,5.0,0.12640,-0.05200,0.01890
-2.0,10.0,0.12070,-0.05130,0.02090
-2.0,15.0,0.11810,-0.05170,0.02280
-2.0,20.0,0.13340,-0.05430,0.02250
-2.0,25.0,0.13640,-0.05270,0.02300
-2.0,30.0,0.13580,-0.04740,0.02130
-2.0,35.0,0.11210,-0.03630,0.01780
-2.0,40.0,0.07810,-0.02430,0.01580
-2.0,45.0,0.06690,-0.00530,0.01330
-2.0,50.0,0.04760,0.00030,0.00800
-2.0,55.0,0.03660,0.00040,0.00690
-2.0,60.0,0.03110,-0.00820,0.00750
-2.0,70.0,0.02720,-0.01520,0.00520
-2.0,80.0,0.02930,-0.00020,0.00450
-2.0,90.0,0.02400,-0.00090,0.00790
0.0,-20.0,0.08540,-0.04810,0.02010
0.0,-15.0,0.09000,-0.04840,0.01760
0.0,-10.0,0.08690,-0.04760,0.01840
0.0,-5.0,0.08150,-0.04490,0.01540
0.0,0.0,0.08590,-0.04510,0.01460
0.0,5.0,0.09230,-0.04500,0.01440
0.0,10.0,0.08510,-0.04410,0.01370
0.0,15.0,0.08340,-0.04460,0.01350
0.0,20.0,0.09360,-0.04750,0.01370
0.0,25.0,0.09940,-0.04830,0.01470
0.0,30.0,0.10710,-0.04940,0.01260
0.0,35.0,0.08850,-0.04490,0.01140
0.0,40.0,0.07490,-0.03280,0.00590
0.0,45.0,0.03870,-0.01620,0.00070
0.0,50.0,0.02510,-0.00810,0.00260
0.0,55.0,0.01220,-0.00400,0.00190
0.0,60.0,0.00660,-0.00120,0.00150
0.0,70.0,0.00610,-0.00150,0.00080
0.0,80.0,0.01750,-0.00610,-0.00230
0.0,90.0,0.00520,-0.00240,0.00180
2.0,-20.0,0.06810,-0.04940,0.01440
2.0,-15.0,0.07320,-0.04650,0.01520
2.0,-10.0,0.07170,-0.04470,0.01690
2.0,-5.0,0.05100,-0.04010,0.01120
2.0,0.0,0.05300,-0.03890,0.01120
2.0,5.0,0.05740,-0.03880,0.01030
2.0,10.0,0.05110,-0.03820,0.00730
2.0,15.0,0.04770,-0.03860,0.00470
2.0,20.0,0.06260,-0.04310,0.00560
2.0,25.0,0.06610,-0.04510,0.00510
2.0,30.0,0.07090,-0.05100,0.00800
2.0,35.0,0.07310,-0.05270,0.01090
2.0,40.0,0.04680,-0.04050,0.00230
2.0,45.0,-0.04120,-0.04100,0.00110
2.0,50.0,-0.01200,-0.01660,-0.00420
2.0,55.0,-0.00790,-0.00120,-0.00340
2.0,60.0,-0.00410,0.00660,-0.00280
2.0,70.0,-0.01010,0.00150,-0.00100
2.0,80.0,-0.00690,-0.00550,-0.00630
2.0,90.0,-0.01240,-0.00420,-0.00200
4.0,-20.0,0.04470,-0.04860,0.01390
4.0,-15.0,0.05220,-0.04370,0.01330
4.0,-10.0,0.04780,-0.04070,0.01280
4.0,-5.0,0.01460,-0.03370,0.00730
4.0,0.0,0.01850,-0.03230,0.00790
4.0,5.0,0.01750,-0.03110,0.00620
4.0,10.0,0.01610,-0.03090,0.00060
4.0,15.0,0.01210,-0.03200,-0.00440
4.0,20.0,0.03520,-0.04040,-0.00320
4.0,25.0,0.03470,-0.04110,-0.00300
4.0,30.0,0.04190,-0.05140,0.00100
4.0,35.0,0.04710,-0.05710,0.01020
4.0,40.0,0.03040,-0.04490,-0.00240
4.0,45.0,-0.07130,-0.05450,-0.00620
4.0,50.0,-0.04410,-0.03000,-0.00810
4.0,55.0,-0.06390,-0.00890,-0.00640
4.0,60.0,-0.05510,0.00960,-0.00510
4.0,70.0,-0.02560,0.01430,-0.00640
4.0,80.0,-0.02760,-0.00890,-0.00830
4.0,90.0,-0.03350,-0.00470,-0.00410
6.0,-20.0,0.02290,-0.04650,0.01270
6.0,-15.0,0.02710,-0.03950,0.01050
6.0,-10.0,0.01280,-0.03380,0.01100
6.0,-5.0,-0.02670,-0.02580,0.00320
6.0,0.0,-0.02590,-0.02300,0.00360
6.0,5.0,-0.02440,-0.02200,0.00140
6.0,10.0,-0.03350,-0.02000,-0.00690
6.0,15.0,-0.03480,-0.02010,-0.01420
6.0,20.0,-0.00260,-0.03210,-0.01220
6.0,25.0,-0.00450,-0.03330,-0.01160
6.0,30.0,0.01150,-0.05040,-0.00540
6.0,35.0,0.01800,-0.06070,0.00920
6.0,40.0,-0.00050,-0.04960,-0.00440
6.0,45.0,-0.09540,-0.06170,-0.00970
6.0,50.0,-0.08360,-0.04380,-0.01440
6.0,55.0,-0.09200,-0.02030,-0.01330
6.0,60.0,-0.07620,0.00460,-0.01130
6.0,70.0,-0.04080,0.01570,-0.01120
6.0,80.0,-0.05700,-0.00960,-0.01260
6.0,90.0,-0.06460,-0.00540,-0.00640
8.0,-20.0,-0.01090,-0.03960,0.00850
8.0,-15.0,-0.01070,-0.02980,0.00930
8.0,-10.0,-0.02910,-0.02380,0.00950
8.0,-5.0,-0.07150,-0.01470,-0.00090
8.0,0.0,-0.07500,-0.01160,-0.00090
8.0,5.0,-0.07410,-0.01000,-0.00390
8.0,10.0,-0.08000,-0.00830,-0.01360
8.0,15.0,-0.07850,-0.00880,-0.02380
8.0,20.0,-0.03850,-0.02300,-0.02330
8.0,25.0,-0.04050,-0.02540,-0.02100
8.0,30.0,-0.02470,-0.04370,-0.00940
8.0,35.0,-0.01150,-0.05830,0.00870
8.0,40.0,-0.02420,-0.05700,-0.00590
8.0,45.0,-0.12750,-0.06970,-0.01150
8.0,50.0,-0.11460,-0.05580,-0.01500
8.0,55.0,-0.12520,-0.02890,-0.01560
8.0,60.0,-0.07220,-0.00330,-0.01450
8.0,70.0,-0.06090,0.00940,-0.01520
8.0,80.0,-0.07470,-0.01050,-0.01800
8.0,90.0,-0.08410,-0.00580,-0.01220
10.0,-20.0,-0.05560,-0.03100,-0.00100
10.0,-15.0,-0.04760,-0.02020,0.00500
10.0,-10.0,-0.07130,-0.01250,0.00440
10.0,-5.0,-0.11900,-0.00450,-0.00460
10.0,0.0,-0.12710,0.00000,-0.00530
10.0,5.0,-0.12580,0.00090,-0.00810
10.0,10.0,-0.13190,0.00310,-0.01990
10.0,15.0,-0.12510,0.00190,-0.03190
10.0,20.0,-0.07600,-0.00470,-0.03260
10.0,25.0,-0.07820,-0.01790,-0.03000
10.0,30.0,-0.06190,-0.03670,-0.01670
10.0,35.0,-0.03950,-0.05850,0.00690
10.0,40.0,-0.05930,-0.06590,-0.00810
10.0,45.0,-0.14470,-0.07840,-0.01800
10.0,50.0,-0.13700,-0.06550,-0.02020
10.0,55.0,-0.14480,-0.03180,-0.01890
10.0,60.0,-0.12820,-0.00480,-0.01750
10.0,70.0,-0.08720,0.00490,-0.01960
10.0,80.0,-0.10270,-0.01140,-0.01910
10.0,90.0,-0.10160,-0.00570,-0.01460
15.0,-20.0,-0.10610,-0.02700,0.00640
15.0,-15.0,-0.08700,-0.02160,0.00600
15.0,-10.0,-0.14820,-0.00460,0.00730
15.0,-5.0,-0.22250,0.01520,-0.00670
15.0,0.0,-0.23690,0.01900,-0.00860
15.0,5.0,-0.24070,0.02150,-0.01460
15.0,10.0,-0.23880,0.02070,-0.03070
15.0,15.0,-0.22950,0.01730,-0.04530
15.0,20.0,-0.18590,0.00120,-0.05030
15.0,25.0,-0.16680,-0.00420,-0.04640
15.0,30.0,-0.13470,-0.03250,-0.02930
15.0,35.0,-0.12780,-0.06110,0.00170
15.0,40.0,-0.11220,-0.08240,-0.01140
15.0,45.0,-0.17350,-0.09120,-0.02690
15.0,50.0,-0.17260,-0.06320,-0.02860
15.0,55.0,-0.19720,-0.03830,-0.02760
15.0,60.0,-0.17900,-0.01630,-0.02630
15.0,70.0,-0.14420,-0.00350,-0.02950
15.0,80.0,-0.14840,-0.01720,-0.03100
15.0,90.0,-0.15390,-0.01090,-0.02370
20.0,-20.0,-0.16210,-0.01910,0.01760
20.0,-15.0,-0.14200,-0.01170,0.01340
20.0,-10.0,-0.21920,0.00330,0.01120
20.0,-5.0,-0.33390,0.03520,-0.00780
20.0,0.0,-0.35260,0.03890,-0.00920
20.0,5.0,-0.35940,0.04050,-0.01770
20.0,10.0,-0.35640,0.03810,-0.03810
20.0,15.0,-0.34110,0.02890,-0.05290
20.0,20.0,-0.27580,0.00430,-0.06000
20.0,25.0,-0.25360,0.00130,-0.05690
20.0,30.0,-0.20780,-0.02420,-0.03600
20.0,35.0,-0.19040,-0.04510,-0.02770
20.0,40.0,-0.14150,-0.07260,-0.03970
20.0,45.0,-0.15910,-0.06720,-0.03550
20.0,50.0,-0.15330,-0.03940,-0.03390
20.0,55.0,-0.21290,-0.04010,-0.03420
20.0,60.0,-0.20920,-0.03170,-0.03480
20.0,70.0,-0.17020,-0.01480,-0.04070
20.0,80.0,-0.20130,-0.02250,-0.04190
20.0,90.0,-0.18730,-0.01570,-0.03580
25.0,-20.0,-0.21410,-0.01130,0.02960
25.0,-15.0,-0.19700,-0.00820,0.02590
25.0,-10.0,-0.26620,0.00430,0.02270
25.0,-5.0,-0.40120,0.04980,-0.00490
25.0,0.0,-0.42120,0.05840,-0.00790
25.0,5.0,-0.43160,0.05940,-0.01770
25.0,10.0,-0.42850,0.05500,-0.03950
25.0,15.0,-0.42150,0.03490,-0.05690
25.0,20.0,-0.38570,0.02490,-0.07210
25.0,25.0,-0.35050,0.01970,-0.06880
25.0,30.0,-0.28590,-0.01300,-0.06270
25.0,35.0,-0.26180,-0.02280,-0.04980
25.0,40.0,-0.18660,-0.02270,-0.06120
25.0,45.0,-0.18970,-0.03320,-0.05840
25.0,50.0,-0.15530,-0.02020,-0.04860
25.0,55.0,-0.16980,-0.00110,-0.04490
25.0,60.0,-0.17370,-0.00120,-0.04430
25.0,70.0,-0.20180,-0.02630,-0.05160
25.0,80.0,-0.24570,-0.02680,-0.05400
25.0,90.0,-0.23740,-0.01700,-0.05030
30.0,-20.0,-0.28210,-0.01430,0.04500
30.0,-15.0,-0.26700,-0.00690,0.04240
30.0,-10.0,-0.32320,0.00560,0.03400
30.0,-5.0,-0.46920,0.05980,0.00070
30.0,0.0,-0.49120,0.07840,-0.00430
30.0,5.0,-0.50260,0.07940,-0.01990
30.0,10.0,-0.52950,0.07250,-0.03950
30.0,15.0,-0.53650,0.05690,-0.06190
30.0,20.0,-0.49470,0.04470,-0.08010
30.0,25.0,-0.44750,0.03170,-0.07820
30.0,30.0,-0.34590,0.01800,-0.09410
30.0,35.0,-0.28080,0.01040,-0.05880
30.0,40.0,-0.17790,-0.00530,-0.06190
30.0,45.0,-0.25830,-0.02220,-0.07770
30.0,50.0,-0.20040,-0.00580,-0.05770
30.0,55.0,-0.20950,0.00510,-0.05950
30.0,60.0,-0.20950,0.00260,-0.05970
30.0,70.0,-0.24160,-0.02360,-0.06230
30.0,80.0,-0.29240,-0.02330,-0.06520
30.0,90.0,-0.30090,-0.01810,-0.06280
