numberIndependentVariables,"""=""",2,,,,,
-15,-15,-0.0191,0.2636,1.093,0.0033,-0.0217,-0.0539
-15,-10,-0.0233,0.2896,0.704,0.0018,-0.0229,-0.0555
-15,-5,-0.015,0.2943,0.227,0.0103,-0.0321,-0.0556
-15,0,-0.0136,0.3053,-0.105,0.0204,-0.0231,-0.0593
-15,5,-0.0005,0.3097,-0.414,0.0315,-0.017,-0.0573
-15,10,0.0121,0.3142,-0.703,0.0347,-0.0166,-0.058
-15,15,0.0218,0.3066,-1.07,0.042,-0.0197,-0.0549
-15,20,0.0226,0.23,-1.314,0.0209,-0.0536,-0.023
-15,25,0.0178,0.1578,-1.506,0.0221,-0.0777,0.0063
-15,30,0.0165,0.1396,-1.692,0.0235,-0.1013,0.0249
-15,35,0.0149,0.1307,-1.875,0.019,-0.1086,0.0553
-15,40,0.0246,0.1286,-1.999,0.0173,-0.1156,0.0645
-15,45,0.0236,0.1321,-1.962,0.0306,-0.0987,0.04
-10,-20,-0.0184,0.1078,1.369,0.015,-0.0518,-0.0296
-10,-15,-0.0161,0.1826,1.058,0.0006,-0.0702,-0.0358
-10,-10,-0.0209,0.1871,0.701,0.0034,-0.0536,-0.037
-10,-5,-0.0167,0.1926,0.24,0.0093,-0.0386,-0.0402
-10,0,-0.0168,0.2024,-0.104,0.0168,-0.0259,-0.042
-10,5,-0.0004,0.2042,-0.42,0.0248,-0.0152,-0.041
-10,10,0.0131,0.208,-0.728,0.0263,-0.0127,-0.0424
-10,15,0.0225,0.2023,-1.098,0.0297,0,-0.0414
-10,20,0.0252,0.1576,-1.348,0.0158,-0.0308,-0.0216
-10,25,0.0226,0.1176,-1.564,0.0233,-0.0674,-0.0059
-10,30,0.0202,0.0825,-1.775,0.0106,-0.0875,0.0198
-10,35,0.0208,0.0776,-1.957,0.0078,-0.1018,0.0434
-10,40,0.0289,0.0906,-2.111,0.0094,-0.117,0.0445
-10,45,0.0266,0.111,-2.03,0.0179,-0.0985,0.0326
-8,-20,-0.0156,0.0874,1.364,0.0134,-0.0605,-0.0208
-8,-15,-0.0157,0.1456,1.039,-0.0002,-0.086,-0.0282
-8,-10,-0.0215,0.1475,0.71,0.0022,-0.0634,-0.0289
-8,-5,-0.0173,0.149,0.243,0.0073,-0.0389,-0.0308
-8,0,-0.0178,0.1582,-0.099,0.0134,-0.0255,-0.0319
-8,5,-0.0006,0.163,-0.417,0.0202,-0.0148,-0.0324
-8,10,0.0125,0.1631,-0.765,0.0213,-0.0113,-0.0327
-8,15,0.0231,0.1576,-1.116,0.0241,0.0026,-0.0316
-8,20,0.0245,0.1254,-1.359,0.0141,-0.0293,-0.0174
-8,25,0.0251,0.1174,-1.598,0.0203,-0.0648,-0.0094
-8,30,0.0253,0.0801,-1.814,0.0133,-0.0983,0.0114
-8,35,0.0229,0.0602,-1.976,0.0069,-0.1014,0.0397
-8,40,0.0293,0.0737,-2.149,0.0156,-0.1142,0.033
-8,45,0.0283,0.0854,-2.129,0.0158,-0.0975,0.0261
-6,-20,-0.0159,0.0837,1.297,0.0008,-0.0574,-0.0173
-6,-15,-0.0162,0.1068,1.031,0.0022,-0.1001,-0.0204
-6,-10,-0.0214,0.1096,0.73,0.0016,-0.0654,-0.0218
-6,-5,-0.0185,0.1125,0.244,0.0052,-0.0385,-0.0254
-6,0,-0.0182,0.1116,-0.107,0.0098,-0.0286,-0.0222
-6,5,-0.0017,0.1174,-0.417,0.0149,-0.0145,-0.0225
-6,10,0.0122,0.1187,-0.772,0.0155,-0.0092,-0.0235
-6,15,0.0238,0.1168,-1.1144,0.0172,0.0078,-0.0223
-6,20,0.0236,0.0919,-1.362,0.0095,-0.0275,-0.0076
-6,25,0.0264,0.0893,-1.628,0.0175,-0.0607,-0.0061
-6,30,0.0279,0.0757,-1.846,0.0138,-0.0951,0.0055
-6,35,0.0273,0.0535,-2.032,0.0117,-0.1105,0.0263
-6,40,0.029,0.0593,-2.147,0.0193,-0.1182,0.0214
-6,45,0.0236,0.055,-1.917,0.0128,-0.1278,0.0199
-4,-20,-0.0162,0.0572,1.277,0.0013,-0.0554,-0.01
-4,-15,-0.0173,0.0701,1.019,0.0039,-0.1,-0.0126
-4,-10,-0.0224,0.0757,0.729,0.0006,-0.0656,-0.0142
-4,-5,-0.0189,0.0723,0.249,0.003,-0.0386,-0.0141
-4,0,-0.0188,0.0729,-0.099,0.006,-0.0271,-0.0135
-4,5,-0.0027,0.0775,-0.421,0.01,-0.0138,-0.014
-4,10,0.0119,0.0784,-0.774,0.01,-0.0057,-0.0154
-4,15,0.0238,0.0718,-1.151,0.0113,0.0158,-0.0135
-4,20,0.0232,0.059,-1.352,0.0058,-0.0234,-0.0058
-4,25,0.0274,0.0585,-1.647,0.012,-0.0558,-0.0029
-4,30,0.0295,0.0549,-1.875,0.0094,-0.0913,0.0057
-4,35,0.0286,0.0407,-2.06,0.007,-0.1117,0.0206
-4,40,0.032,0.0505,-2.204,0.011,-0.116,0.0156
-4,45,0.0298,0.0339,-2.143,0.0077,-0.1042,0.013
-2,-20,-0.0174,0.026,1.276,0.0027,-0.055,-0.0043
-2,-15,-0.0189,0.0336,1.025,0.0019,-0.1002,-0.0058
-2,-10,-0.023,0.0377,0.729,0,-0.0652,-0.0068
-2,-5,-0.0193,0.0369,0.249,0.0012,-0.0388,-0.0067
-2,0,-0.0197,0.0374,-0.099,0.0029,-0.0271,-0.0062
-2,5,-0.0033,0.0394,-0.424,0.0049,-0.0127,-0.0061
-2,10,0.0104,0.037,-0.772,0.0046,-0.0033,-0.0064
-2,15,0.0231,0.0377,-1.142,0.0052,0.0243,-0.0059
-2,20,0.0233,0.0282,-1.357,0.0005,-0.0188,-0.0015
-2,25,0.0271,0.0286,-1.646,0.0061,-0.0526,-0.0012
-2,30,0.0296,0.0287,-1.879,0.0075,-0.0902,0.003
-2,35,0.0303,0.0181,-2.07,0.0022,-0.1127,0.0119
-2,40,0.0317,0.0188,-2.207,0.011,-0.1178,0.0065
-2,45,0.0268,0.0183,-2.05,0.0019,-0.1156,0.0047
0,-20,-0.0181,0,1.256,0,-0.0503,0
0,-15,-0.0193,0,1.035,0,-0.1012,0
0,-10,-0.0224,0,0.725,0,-0.0647,0
0,-5,-0.0196,0,0.248,0,-0.0387,0
0,0,-0.0202,0,-0.1,0,-0.0267,0
0,5,-0.0033,0,-0.428,0,-0.0128,0
0,10,0.0099,0,-0.774,0,-0.0016,0
0,15,0.0224,0,-1.139,0,0.0323,0
0,20,0.0221,0,-1.355,0,-0.0161,0
0,25,0.0278,0,-1.65,0,-0.0455,0
0,30,0.0301,0,-1.883,0,-0.0871,0
0,35,0.0305,0,-2.077,0,-0.1151,0
0,40,0.0328,0,-2.204,0,-0.1206,0
0,45,0.0309,0,-2.208,0,-0.0979,0
2,-20,-0.0179,-0.0258,1.281,-0.0012,-0.0521,0.0037
2,-15,-0.0186,-0.0337,1.033,-0.0015,-0.0974,0.0057
2,-10,-0.022,-0.0339,0.729,-0.0003,-0.0653,0.0069
2,-5,-0.0192,-0.0363,0.248,-0.001,-0.0389,0.0067
2,0,-0.0196,-0.0374,-0.101,-0.0027,-0.0266,0.0066
2,5,-0.0033,-0.0352,-0.421,-0.0049,-0.0133,0.0062
2,10,0.0096,-0.0378,-0.77,-0.0048,-0.0017,0.0064
2,15,0.0224,-0.0368,-1.135,-0.0056,0.0328,0.0055
2,20,0.0232,-0.0313,-1.371,-0.006,-0.0141,0.003
2,25,0.0275,-0.0301,-1.642,-0.0058,-0.0471,0.0008
2,30,0.0309,-0.0289,-1.891,-0.0063,-0.0865,-0.0032
2,35,0.0286,-0.0214,-2.038,0.0014,-0.1167,-0.009
2,40,0.0314,-0.0286,-2.205,-0.0074,-0.128,-0.006
2,45,0.0307,-0.0544,-2.201,-0.0118,-0.1122,-0.017
4,-20,-0.0167,-0.0592,1.28,-0.0031,-0.0483,0.0076
4,-15,-0.0186,-0.0702,1.042,-0.003,-0.0939,0.0125
4,-10,-0.0217,-0.0708,0.728,-0.0008,-0.0659,0.0141
4,-5,-0.0185,-0.0765,0.242,-0.0027,-0.0387,0.0144
4,0,-0.0188,-0.0776,-0.104,-0.0058,-0.0272,0.0143
4,5,-0.0024,-0.0785,-0.428,-0.01,-0.0141,0.0149
4,10,0.0106,-0.0774,-0.767,-0.0115,-0.0025,0.015
4,15,0.0226,-0.0784,-1.118,-0.0123,0.029,0.0143
4,20,0.0241,-0.067,-1.376,-0.0117,-0.0136,0.0087
4,25,0.0271,-0.0566,-1.641,-0.0128,-0.0479,0.0038
4,30,0.0306,-0.0527,-1.876,-0.0095,-0.0896,-0.0077
4,35,0.0307,-0.0537,-2.039,-0.0057,-0.123,-0.0134
4,40,0.0305,-0.0516,-2.195,-0.0126,-0.1347,-0.0136
4,45,0.028,-0.0929,-2.182,-0.0124,-0.1225,-0.0369
6,-20,-0.0168,-0.0863,1.312,-0.0054,-0.0459,0.0121
6,-15,-0.017,-0.11,1.043,-0.0039,-0.0839,0.0206
6,-10,-0.0213,-0.1108,0.728,-0.0011,-0.0654,0.0224
6,-5,-0.0179,-0.1169,0.239,-0.0044,-0.0388,0.0234
6,0,-0.018,-0.1223,-0.104,-0.0094,-0.028,0.0234
6,5,-0.0014,-0.1189,-0.422,-0.0149,-0.0149,0.0229
6,10,0.0117,-0.1228,-0.761,-0.0175,-0.0038,0.0243
6,15,0.0227,-0.1194,-1.112,-0.0187,0.0189,0.0232
6,20,0.025,-0.1023,-1.37,-0.0175,-0.0154,0.0159
6,25,0.0267,-0.0925,-1.618,-0.0183,-0.053,0.0069
6,30,0.0278,-0.0724,-1.843,-0.011,-0.0962,-0.0117
6,35,0.0292,-0.0808,-2.028,-0.0076,-0.1301,-0.019
6,40,0.0289,-0.0737,-2.193,-0.0194,-0.1436,-0.0155
6,45,0.0238,-0.1312,-2.077,-0.015,-0.1444,-0.0464
8,-20,-0.0156,-0.1209,1.315,-0.0051,-0.0404,0.0186
8,-15,-0.0155,-0.15,1.056,-0.0028,-0.0837,0.0288
8,-10,-0.0205,-0.1513,0.723,-0.002,-0.0631,0.0301
8,-5,-0.0178,-0.1644,0.235,-0.0065,-0.0392,0.0328
8,0,-0.0172,-0.1712,-0.104,-0.0134,-0.0267,0.034
8,5,-0.0004,-0.1689,-0.423,-0.0206,-0.0157,0.0336
8,10,0.0126,-0.1664,-0.754,-0.0227,-0.0049,0.033
8,15,0.0223,-0.1636,-1.107,-0.0248,0.012,0.0325
8,20,0.0267,-0.1374,-1.379,-0.0183,-0.018,0.0227
8,25,0.0249,-0.1126,-1.599,-0.0186,-0.0563,0.0078
8,30,0.0261,-0.0939,-1.838,-0.0101,-0.0997,-0.0201
8,35,0.0259,-0.1009,-2.005,-0.0077,-0.1387,-0.0263
8,40,0.0281,-0.0938,-2.174,-0.0213,-0.1512,-0.0266
8,45,0.0284,-0.1581,-2.209,-0.0173,-0.134,-0.0533
10,-20,-0.0153,-0.1504,1.306,-0.0054,-0.0373,0.0231
10,-15,-0.0154,-0.1902,1.056,-0.0003,-0.0759,0.0364
10,-10,-0.0199,-0.1949,0.711,-0.0026,-0.057,0.0387
10,-5,-0.0162,-0.2132,0.229,-0.0087,-0.0386,0.043
10,0,-0.016,-0.2158,-0.106,-0.0164,-0.027,0.0429
10,5,0.0004,-0.215,-0.425,-0.025,-0.0164,0.0423
10,10,0.0127,-0.2153,-0.756,-0.0278,-0.0085,0.0425
10,15,0.0222,-0.2096,-1.099,-0.0304,0.0061,0.0417
10,20,0.0276,-0.171,-1.399,-0.0203,-0.0273,0.0279
10,25,0.0252,-0.1321,-1.585,-0.026,-0.061,0.0034
10,30,0.0247,-0.1136,-1.811,-0.0151,-0.106,-0.0276
10,35,0.0253,-0.1226,-1.986,-0.0091,-0.1402,-0.0328
10,40,0.0262,-0.1132,-2.133,-0.0253,-0.1516,-0.033
10,45,0.0254,-0.1766,-2.126,-0.0214,-0.1461,-0.0611
15,-20,-0.0225,-0.2106,1.227,0.0036,-0.0193,0.0428
15,-15,-0.0184,-0.2712,1.091,-0.0024,-0.0274,0.0539
15,-10,-0.0223,-0.2978,0.714,-0.0007,-0.0263,0.0572
15,-5,-0.0155,-0.3148,0.216,-0.01,-0.0321,0.0586
15,0,-0.0144,-0.3196,-0.107,-0.02,-0.0242,0.0595
15,5,0.0013,-0.3218,-0.419,-0.0317,-0.0182,0.0589
15,10,0.0117,-0.3196,-0.731,-0.036,-0.0124,0.0579
15,15,0.0215,-0.3143,-1.071,-0.0369,-0.0136,0.0533
15,20,0.025,-0.2452,-1.365,-0.025,-0.0501,0.0292
15,25,0.0203,-0.1714,-1.527,-0.0248,-0.0713,-0.0088
15,30,0.02,-0.1694,-1.728,-0.028,-0.1198,-0.0332
15,35,0.0194,-0.1766,-1.904,-0.0203,-0.147,-0.0444
15,40,0.0219,-0.1503,-2.021,-0.0332,-0.1502,-0.0532
15,45,0.0224,-0.1977,-2.058,-0.0341,-0.1463,-0.0681
20,-20,-0.0287,-0.2836,1.216,0.0159,0.067,0.0393
20,-15,-0.0252,-0.3332,1.053,0.0023,-0.0124,0.0658
20,-10,-0.025,-0.3758,0.712,0.0007,-0.002,0.0645
20,-5,-0.0168,-0.4118,0.22,-0.0103,-0.0234,0.0785
20,0,-0.0151,-0.4308,-0.092,-0.022,-0.0241,0.0759
20,5,0.0011,-0.4364,-0.395,-0.0355,-0.0216,0.0747
20,10,0.0112,-0.4353,-0.707,-0.0443,-0.0224,0.073
20,15,0.0193,-0.4223,-1.019,-0.0399,-0.0364,0.0656
20,20,0.0229,-0.3089,-1.279,-0.0335,-0.0607,0.0237
20,25,0.0183,-0.2647,-1.486,-0.0398,-0.0874,-0.0008
20,30,0.0174,-0.2589,-1.625,-0.0473,-0.1092,-0.0209
20,35,0.0207,-0.2208,-1.836,-0.0435,-0.1275,-0.0427
20,40,0.0209,-0.1791,-1.934,-0.0498,-0.1317,-0.0561
20,45,0.0254,-0.1859,-1.955,-0.0386,-0.0893,-0.0495
25,-20,-0.0254,-0.3396,1.183,0.0256,0.0704,0.0494
25,-15,-0.0303,-0.3882,1.016,0.0052,0.0005,0.073
25,-10,-0.0288,-0.4528,0.72,0.0071,-0.0028,0.0715
25,-5,-0.0158,-0.513,0.205,-0.0102,-0.0193,0.0872
25,0,-0.0149,-0.5443,-0.086,-0.0228,-0.0257,0.0938
25,5,-0.0002,-0.5448,-0.352,-0.0363,-0.0287,0.0877
25,10,0.01,-0.5237,-0.645,-0.0476,-0.0326,0.0796
25,15,0.0165,-0.4947,-0.93,-0.0411,-0.0526,0.0673
25,20,0.0212,-0.3869,-1.219,-0.0378,-0.0816,0.0253
25,25,0.0198,-0.385,-1.428,-0.061,-0.1171,0.0183
25,30,0.0167,-0.3511,-1.546,-0.0677,-0.1042,-0.0034
25,35,0.0179,-0.2714,-1.713,-0.0492,-0.0894,-0.0279
25,40,0.0175,-0.1996,-1.777,-0.0594,-0.0985,-0.024
25,45,0.0262,-0.19,-1.879,-0.0528,-0.064,-0.0245
30,-20,-0.0246,-0.4106,1.12,0.0297,0.1067,0.0468
30,-15,-0.0307,-0.4452,0.958,0.0072,0.0315,0.0683
30,-10,-0.0285,-0.5078,0.719,0.0093,0.0217,0.0794
30,-5,-0.0153,-0.5889,0.211,-0.0106,-0.0006,0.0913
30,0,-0.0144,-0.6426,-0.068,-0.0234,-0.0284,0.1066
30,5,-0.0021,-0.6496,-0.322,-0.0392,-0.0331,0.1069
30,10,0.0081,-0.6177,-0.597,-0.0498,-0.0404,0.0925
30,15,0.0142,-0.5499,-0.854,-0.0411,-0.0621,0.0635
30,20,0.0189,-0.488,-1.157,-0.0521,-0.0912,0.0421
30,25,0.0164,-0.5025,-1.335,-0.0758,-0.1026,0.0317
30,30,0.0137,-0.3742,-1.532,-0.0797,-0.032,0.0188
30,35,0.0144,-0.2901,-1.623,-0.0541,-0.0142,-0.0021
30,40,0.0179,-0.2195,-1.705,-0.0714,-0.0462,0.0014
30,45,0.0245,-0.2385,-1.76,-0.0535,-0.0499,-0.028
